,average_activation_time
16386816,1.0
18828362,1.0
19611940,1.0
24558868,2.0
25040040,1.0
25610686,2.0
25668131,2.0
30865662,1.0
31067324,2.0
31525585,1.0
38698216,1.0
40735014,1.0
42234395,1.0
65506912,1.0
69233373,1.0
82679357,1.0
92807592,1.0
97506376,2.0
97709356,1.0
111324544,1.0
121451579,1.0
128712259,1.0
146483618,2.0
154888106,1.0
164317823,1.0
173851488,1.0
177435560,2.0
184853651,1.0
226806717,2.0
231979866,2.0
258170457,1.0
261022418,1.0
266603022,1.0
269930134,1.0
272445421,1.0
272685848,1.0
274261470,1.0
286467935,1.0
300313868,1.0
325997865,2.0
350045415,1.0
359087790,1.0
365035637,2.0
406615126,2.0
413109219,1.0
449128142,1.0
449322071,1.0
457789280,2.0
489498904,1.0
523664519,1.0
558812434,2.0
559025858,1.0
602771526,1.0
602790864,1.0
632305734,1.0
634127491,1.0
764896957,1.0
874587830,1.0
963149508,1.0
1023119263,1.0
1064928865,1.0
1075681226,1.0
1118262685,1.0
1369937910,1.0
1533143322,2.0
1548449911,2.0
1722999380,1.0
1872440785,1.0
2225768293,2.0
2308693465,1.0
2351183016,2.0
2455282524,1.0
2535562177,1.0
2550233168,1.0
2750128888,1.0
2772001302,1.0
2829000901,1.0
2834753506,1.0
2872544674,1.0
2911660443,1.0
2970313930,1.0
3018841938,1.0
3083497578,1.0
3113225173,2.0
3137916773,1.0
3242282429,1.0
3297710454,1.0
3511941449,1.0
3618354350,2.0
3959605152,1.0
4179502257,1.0
4218682163,1.0
4637532628,1.0
4759953132,1.0
4760139313,1.0
706494538597031936,1.0
711980580813066240,1.0
724083079971659776,2.0
728646305946304512,1.0
738780132639440896,2.0
742467081627705344,1.0
769165632738762752,1.0
814944553492828160,1.0
818660875259277313,1.0
819966855393615872,1.0
823933874551959552,2.0
825823199489318912,1.0
840606252006854665,1.0
852332765735395328,2.0
920307650402775041,2.0
938552716686708736,1.0
975460565484122112,1.0
989311745100566529,0.0
1014584876106944512,1.0
1014641512670523392,1.0
1018130243805110272,2.0
1019972864114556928,1.0
1026442571352948736,1.0
1051191909874569216,1.0
1084444054530727937,1.0
1086084557009575936,0.0
1088806163385217024,1.0
1116360718687690758,1.0
1141126539213340672,1.0
1148643937441210369,1.0
1157250876051984385,1.0
1159560116657709056,1.0
1178019071821877250,1.0
1181269652871270400,2.0
1183161327033954304,1.0
1186090989313822720,2.0
1224720670745157633,1.0
1231044484261019648,1.0
1231658802119761920,1.0
1231693228937752578,1.0
1278712277345034240,1.0
1291069648574832640,2.0
1303140940102512640,1.0
1330571074061393923,1.0
1335433670019059712,1.0
1350630948354871298,1.0
1357838111204642818,1.0
1375146737279582208,1.0
1383574236288094214,1.0
1392927838001459201,1.0
1421131101922332672,2.0
1421263144274567172,2.0
1425939253456949252,1.0
1427015461351342080,1.0
1432466218074714113,1.0
1432545138119675905,1.0
1434567543948300290,2.0
1438670371427917832,1.0
1440509126216347656,1.0
1446352422272528385,1.0
