id,ndp_average_activation_time
3258511,1.0
9356072,1.0
14265343,2.0
14422995,2.0
14501713,1.0
15206059,2.0
15371526,1.0
15892547,1.0
16213179,1.0
16260741,2.0
16271356,2.0
16399202,1.0
16422863,1.0
17076793,2.0
17388526,1.0
18377235,1.0
18383003,1.0
18418465,2.0
19557595,1.0
20442664,1.0
21351268,1.0
21632994,1.0
22523896,1.0
23370368,2.0
24219018,2.0
27388441,1.0
28206390,1.0
29304563,1.0
34774986,2.0
35089753,1.0
36395646,2.0
36422158,2.0
36471917,2.0
36758722,1.0
37552089,1.0
38042361,2.0
39977710,1.0
40697478,2.0
44539994,2.0
47205125,2.0
51398426,2.0
53754232,1.0
54650770,2.0
63826204,2.0
63863473,2.0
67278150,2.0
70499348,2.0
74276700,1.0
74937543,1.0
76264942,2.0
77596220,1.0
78429753,1.0
78641250,1.0
79121813,2.0
80728527,2.0
86861008,1.0
96446389,2.0
98019343,1.0
100874975,1.0
101905063,1.0
103031465,2.0
104585835,1.0
107900713,2.0
114590651,1.0
116476946,2.0
121932886,2.0
122053347,2.0
123910630,1.0
132210296,2.0
132989977,2.0
138077463,1.0
142402651,2.0
144876537,1.0
145058470,1.0
146093582,2.0
149004101,2.0
161121771,1.0
171076111,1.0
172352150,2.0
176398351,2.0
196717787,0.0
205091914,2.0
215632349,1.0
222987791,1.0
224737149,2.0
231146728,2.0
232652583,2.0
246116520,2.0
246667561,2.0
246811073,1.0
250170548,2.0
250804618,1.0
251332947,1.0
255067647,1.0
259116532,1.0
259388196,1.0
268573963,2.0
271504586,1.0
273683993,2.0
276093811,1.0
276258166,1.0
280831905,1.0
286723230,1.0
288495993,1.0
291336460,1.0
293588108,1.0
294539923,2.0
299993498,1.0
302984766,2.0
306967462,1.0
307324209,1.0
312422268,1.0
322832745,1.0
343554388,1.0
343681064,2.0
358143304,1.0
361933684,1.0
365780558,1.0
366225624,1.0
374102478,1.0
374654206,1.0
376391827,1.0
382935719,2.0
393348427,2.0
404349157,1.0
416468980,1.0
421482494,2.0
436737559,2.0
446471174,1.0
465916525,1.0
467664297,2.0
467817388,1.0
479862010,2.0
487857297,1.0
492257051,2.0
511037012,2.0
511299034,2.0
516604259,2.0
519883595,1.0
525857359,2.0
525910396,1.0
526957006,1.0
529665584,1.0
546527413,2.0
549598823,1.0
561789525,2.0
570078368,2.0
582379571,2.0
596787864,2.0
601555458,1.0
616598562,2.0
625193066,1.0
760497115,1.0
778920158,2.0
811549418,1.0
814493144,2.0
844452866,1.0
866416675,2.0
868994263,1.0
871074475,1.0
872810605,1.0
881426857,1.0
1031531706,1.0
1088465473,2.0
1126462440,1.0
1219923578,1.0
1241938664,1.0
1270383308,2.0
1283648018,2.0
1305697758,2.0
1367957858,2.0
1385785302,1.0
1395062400,1.0
1395092719,2.0
1447951549,2.0
1483413924,1.0
1529643188,1.0
1577656471,1.0
1594767902,2.0
1638607153,2.0
1661182770,1.0
1691207420,2.0
1705708466,2.0
1880517650,1.0
1894669172,1.0
1923754400,1.0
2157244796,2.0
2171336220,2.0
2190688044,2.0
2253795524,1.0
2254247360,1.0
2262160692,1.0
2275886439,1.0
2291616902,1.0
2292642554,2.0
2308999809,1.0
2395405134,2.0
2434162616,1.0
2466115268,2.0
2557859383,2.0
2560632538,1.0
2568029796,2.0
2573566824,1.0
2600741635,1.0
2612807188,2.0
2693638711,2.0
2715275551,0.0
2796774360,1.0
2797935107,1.0
2828187289,1.0
2869430815,2.0
2931322335,2.0
2968507103,1.0
2993775174,2.0
3096625250,1.0
3112228915,2.0
3135148227,1.0
3146202635,2.0
3165242127,1.0
3179422780,2.0
3187125694,2.0
3250066182,1.0
3290159069,2.0
3299469609,1.0
3310729620,1.0
3313678069,2.0
3351916392,1.0
3539962880,2.0
3586975572,1.0
3675933919,1.0
4819639768,1.0
715394299207090179,2.0
726839398373838848,1.0
727878818246070275,2.0
728594002606428161,2.0
730780438269206528,2.0
730826158258946050,1.0
745995126263193601,2.0
750275313846935552,1.0
758042170968375296,2.0
768559569891012608,1.0
771389564736905216,1.0
771715827800342528,1.0
778792652644818944,2.0
780111689626681344,2.0
797133264716754944,1.0
813058232797237248,2.0
816758120819015680,1.0
818467340895522817,2.0
818660875259277313,2.0
823680319274381312,2.0
825925386110382080,1.0
840697793618550787,2.0
876479489500487681,1.0
891058415195303939,1.0
915577980092641280,1.0
943892192447344641,1.0
959432437754421249,1.0
961001501513699328,1.0
962255435766968322,1.0
971857794826567680,1.0
975519759105060864,1.0
982017242354388992,2.0
1008888246640762880,1.0
1010557821614739456,1.0
1015928973732114435,1.0
1017842910740410368,2.0
1024021327756382209,2.0
1030546808743841794,2.0
1040629333210148865,2.0
1045369159578574850,2.0
1051514280749752321,2.0
1064964294448750595,2.0
1066847336050147329,1.0
1080529497152278528,2.0
1088545656002801664,1.0
1091450434500341761,1.0
1095173919491780608,2.0
1095219121447301120,1.0
1095768409449459712,1.0
1107013222853304320,2.0
1113547517105528833,1.0
1155208255066558475,1.0
1162145379011518465,1.0
1163464930223435777,1.0
1171095411307753472,2.0
1173083481536159744,1.0
1178019071821877250,2.0
1187944161464475648,1.0
1214368702277308421,1.0
1225848216467509248,1.0
1227766472921014272,2.0
1229442788623818752,2.0
1232471924145577985,1.0
1232835905616011264,1.0
1235344992765448193,1.0
1239567083404292097,2.0
1240872856508137472,2.0
1242970742347702272,1.0
1249738426792005640,1.0
1257536517141966848,1.0
1258440535402065920,1.0
1265853916077527042,1.0
1266371396847890439,2.0
1283460034182209537,1.0
1286866100328824832,2.0
1297554634182209537,2.0
1299517391240671233,2.0
1300309398166949889,1.0
1308274897630777344,1.0
1310724884008321028,1.0
1311359699183439872,1.0
1326306504027287554,1.0
1329086628397158409,1.0
1329430334195208192,2.0
1329460132967821314,1.0
1334589021951991809,2.0
1336451673053679620,2.0
1338157627453427713,2.0
1338474046095233026,1.0
1340517896854904832,1.0
1346317368637603841,2.0
1347654502787076096,2.0
1358953654204723202,1.0
1368321380555530243,1.0
1375846488031432705,2.0
1382425350785937408,2.0
1384893312797003781,2.0
1385344932378923009,1.0
1396107226608283649,1.0
1404590411847405568,1.0
1408262420640960512,2.0
1410832490701467650,1.0
1414597315344490499,1.0
1415746394871189504,2.0
1423258513665581061,2.0
1430883215439540230,2.0
1432592905055653889,1.0
1436412482386550784,1.0
1439240496921161733,1.0
