Source,Target
1445512064978542592,1044738781171961856
1444012251720011777,1044738781171961856
1443606785194033157,1044738781171961856
1440809249307697153,1044738781171961856
1439760917349109763,1044738781171961856
1447190497244614662,1686740173
1445135677260185601,1686740173
1443565411375718401,1686740173
1440850820384362498,1686740173
1440376129404112916,1686740173
1440357010478813185,1686740173
1440173441668108296,1686740173
1448735017644003339,4504267216
1447293607975825408,4504267216
1447267939086864385,4504267216
1446979790083268612,4504267216
1446879881845895168,4504267216
1446564805775609857,4504267216
1446509944522563585,4504267216
1446176748941373441,4504267216
1446158801086865418,4504267216
1446154602835943427,4504267216
1446079357101883393,4504267216
1445909991270109185,4504267216
1445827447480594432,4504267216
1445784038375972874,4504267216
1445779403439362052,4504267216
1445767010990784529,4504267216
1445750066753388552,4504267216
1445748068729638912,4504267216
1445713194605965324,4504267216
1445526715451777025,4504267216
1445459519518089217,4504267216
1440197731226578944,4504267216
1449020634114101255,564207331
1448673479188828160,564207331
1448434767481954304,564207331
1448298659729137664,564207331
1447941438319185923,564207331
1447588961661054976,564207331
1447304703516102659,564207331
1446976664076832773,564207331
1446618154298331138,564207331
1446092270357389320,564207331
1445770496914694144,564207331
1445348310890565634,564207331
1445059714220441600,564207331
1444705294328549382,564207331
1443960359786741760,564207331
1443578577828528137,564207331
1443372825721589763,564207331
1443254285651820546,564207331
1441770833186222088,564207331
1441081994440368133,564207331
1440811723766714368,564207331
1440424464563400708,564207331
1439770639381012481,564207331
1449123516347990016,2352629420
1449119223586885640,2352629420
1449090136898146306,2352629420
1449090133546971141,2352629420
1448638286222725128,2352629420
1448638283546873860,2352629420
1448392222194421762,2352629420
1447200805581434882,2352629420
1446639498184564737,2352629420
1446588270213799942,2352629420
1446502946385108993,2352629420
1446491201922867219,2352629420
1445830926039146496,2352629420
1443620639961669635,2352629420
1443543889164525570,2352629420
1443000514405445632,2352629420
1443000502602633218,2352629420
1442606218019844101,2352629420
1442604980339367940,2352629420
1442531068557496320,2352629420
1441902416144650240,2352629420
1441823081425690625,2352629420
1441383737002840075,2352629420
1440775175448850436,2352629420
1440775173980839936,2352629420
1440768481742311425,2352629420
1440460950490861568,2352629420
1440459250321408000,2352629420
1440459099007684608,2352629420
1440154571511193602,2352629420
1440114449336213504,2352629420
1440010814644264961,2352629420
1439945181780979713,2352629420
1439754813290553344,2352629420
